,category,copyright_or_license__information,description,download,language,last_updated,metadata,recorded,speakers,tags,video_origin,youtube_dislikes,youtube_likes,youtube_views,youtube_net_likes
10,PyCon AU 2014,http://www.youtube.com/t/terms,,ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Angus Salkeld,,http://www.youtube.com/watch?v=mMHom03oZ_Y,0.0,2.0,73.0,2.0
11,PyCon AU 2014,http://www.youtube.com/t/terms,,ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Joseph Gordon,,http://www.youtube.com/watch?v=4YTz3qUBxSk,0.0,0.0,44.0,0.0
12,PyCon AU 2014,http://www.youtube.com/t/terms,,ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Robert Collins,,http://www.youtube.com/watch?v=RcwLcKhbVSk,0.0,0.0,62.0,0.0
13,PyCon AU 2014,http://www.youtube.com/t/terms,,ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Grant Murphy,,http://www.youtube.com/watch?v=VrXup6wr7EQ,0.0,0.0,82.0,0.0
14,PyCon AU 2014,http://www.youtube.com/t/terms,,ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Lex Hider,,http://www.youtube.com/watch?v=1QOMk2k9aI8,0.0,2.0,443.0,2.0
15,PyCon AU 2014,http://www.youtube.com/t/terms,,ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Jay Larson,,http://www.youtube.com/watch?v=fSOMF2KG9Y4,1.0,0.0,85.0,-1.0
16,PyCon AU 2014,http://www.youtube.com/t/terms,"Pandas is increasingly becoming a standard tool in scientific computing.  Could it also have a role in the CFO's office?
CFOs regularly need to analyse the impact of different projects or business cases, and they almost universally do this using spreadsheets.  Spreadsheets have many advantages - they have a low barrier to entry and are easy for most people to understand.  However as they get more complicated, disadvantages start to appear; in particular, they can be inflexible and highly error-prone.
In this talk I will explain how business case analysis can be done using python and pandas.  The python version has several advantages over spreadsheets: it is more flexible as the business structure changes; formulas only need to be changed in a single place, reducing the chance of error; and report-ready plots are quick to produce.  I'll go through a way of structuring the problem for some simple business logic, and ways to visualise the results.
The example I’ll discuss is made more interesting and useful by being “Monte Carlo” analysis. Traditional business case analysis takes single point estimates of sales, costs and prices, and calculates a single profit forecast. Everybody knows the profit will not turn out to be exactly equal to the forecast.  But it is not clear what the range of profits might be, or how likely a loss is.  ""Monte Carlo"" analysis solves this problem by allowing ranges or distributions on the assumptions; the forecast is then a range of outcomes.
In short, I’ll demonstrate how you can use pandas to analyse high-impact business decisions, and dodge many of the problems of using spreadsheets.",ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Arthur Street,,http://www.youtube.com/watch?v=KcMaO2f7ww4,0.0,2.0,165.0,2.0
17,PyCon AU 2014,http://www.youtube.com/t/terms,,ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Clare Sloggett,,http://www.youtube.com/watch?v=jKcRcdu9X3Y,0.0,1.0,174.0,1.0
18,PyCon AU 2014,http://www.youtube.com/t/terms,,ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Justin Clacherty,,http://www.youtube.com/watch?v=scgudhbfmjA,0.0,0.0,74.0,0.0
19,PyCon AU 2014,http://www.youtube.com/t/terms,Welcome to the Science and Data miniconf. It focuses on how Python can be best used in the science and research fields.,ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Ed Schofield,,http://www.youtube.com/watch?v=yyjSa4Gqxjo,1.0,0.0,18.0,-1.0
